,Date,Portfolio,One-Way Turnover,Transaction Cost Rate,Transaction Cost (₹)
23,2025-12-01,Current Equal Weight,0.019598322640780035,2.9397483961170052e-05,43.24592045571107
24,2026-01-01,Current Equal Weight,0.01066337773656522,1.599506660484783e-05,23.137142367028808
25,2026-02-02,Current Equal Weight,0.04034727874048405,6.052091811072607e-05,82.18394895375239
26,2026-03-02,Current Equal Weight,0.03430665522159841,5.1459982832397617e-05,70.65310177592524
27,2026-04-01,Current Equal Weight,0.0290658107473796,4.3598716121069404e-05,53.797346312803924
28,2026-05-01,Current Equal Weight,0.02125115324532921,3.187672986799381e-05,42.83033627888947
29,2026-06-01,Current Equal Weight,0.01454516163994405,2.1817742459916076e-05,28.447016087619907
30,2026-07-01,Current Equal Weight,0.022448676770692212,3.367301515603832e-05,44.82341748103272
31,2024-01-01,Minimum Volatility,0.0,0.0,0.0
32,2024-02-01,Minimum Volatility,0.035380766923982135,5.3071150385973206e-05,54.186164848747325
33,2024-03-01,Minimum Volatility,0.043245354422183385,6.486803163327508e-05,69.02196984496437
34,2024-04-01,Minimum Volatility,0.028996134751872123,4.3494202127808185e-05,46.15712030137852
35,2024-05-02,Minimum Volatility,0.024413228657244837,3.661984298586726e-05,39.51301529727641
36,2024-06-03,Minimum Volatility,0.026243695669277964,3.936554350391695e-05,43.41476335802143
37,2024-07-01,Minimum Volatility,0.04662112239019309,6.993168358528963e-05,82.12319067145319
38,2024-08-01,Minimum Volatility,0.030079993140954078,4.5119989711431116e-05,56.87245755741123
39,2024-09-02,Minimum Volatility,0.024670495166023418,3.700574274903513e-05,48.07164823591097
40,2024-10-01,Minimum Volatility,0.025666080207863193,3.849912031179479e-05,51.96765568423391
41,2024-11-01,Minimum Volatility,0.027737644691364825,4.160646703704724e-05,52.299497740951
42,2024-12-02,Minimum Volatility,0.02975561718458102,4.463342577687153e-05,57.13797586001159
43,2025-01-01,Minimum Volatility,0.021710947007196,3.2566420510794e-05,40.745881382094474
44,2025-02-01,Minimum Volatility,0.028209333294333595,4.2313999941500396e-05,52.6807088088816
45,2025-03-03,Minimum Volatility,0.025471722297735123,3.8207583446602685e-05,43.35531306598904
46,2025-04-01,Minimum Volatility,0.032603736543122944,4.890560481468442e-05,59.584090274174066
47,2025-05-02,Minimum Volatility,0.036516716455916164,5.477507468387425e-05,69.12446795832722
48,2025-06-02,Minimum Volatility,0.03147535701184682,4.721303551777023e-05,58.475931965048154
49,2025-07-01,Minimum Volatility,0.041406826973315596,6.21102404599734e-05,78.55722445295902
50,2025-08-01,Minimum Volatility,0.03483682625259003,5.225523937888504e-05,65.86111770176466
51,2025-09-01,Minimum Volatility,0.02310206111538359,3.465309167307539e-05,43.01546020474165
52,2025-10-01,Minimum Volatility,0.022292788837979693,3.343918325696954e-05,40.586278069791284
53,2025-11-03,Minimum Volatility,0.014150939252130273,2.122640887819541e-05,26.8783128353829
54,2025-12-01,Minimum Volatility,0.015567041551973276,2.3350562327959914e-05,30.32852406487337
55,2026-01-01,Minimum Volatility,0.01571092822965539,2.3566392344483085e-05,29.85251244602307
56,2026-02-02,Minimum Volatility,0.026517949793519048,3.977692469027857e-05,48.384907994560116
57,2026-03-02,Minimum Volatility,0.044876456085843494,6.731468412876525e-05,81.2164249470303
58,2026-04-01,Minimum Volatility,0.05226291555113896,7.839437332670844e-05,85.7620578845539
59,2026-05-01,Minimum Volatility,0.023953586477283587,3.593037971592538e-05,41.78945115540785
60,2026-06-01,Minimum Volatility,0.015555102511386703,2.3332653767080056e-05,26.092578042859593
61,2026-07-01,Minimum Volatility,0.02837034703622152,4.255552055433228e-05,48.03111084501341
62,2024-01-01,Maximum Sharpe,0.0,0.0,0.0
63,2024-02-01,Maximum Sharpe,0.04662693875997818,6.994040813996727e-05,73.93256999807467
64,2024-03-01,Maximum Sharpe,0.05534618479886529,8.301927719829794e-05,95.64451710568011
65,2024-04-01,Maximum Sharpe,0.05172011291177729,7.758016936766594e-05,91.00819618094718
66,2024-05-02,Maximum Sharpe,0.047878707633127335,7.181806144969101e-05,88.54724687759933
67,2024-06-03,Maximum Sharpe,0.050450232618296044,7.567534892744406e-05,98.77473232069971
68,2024-07-01,Maximum Sharpe,0.14383201779284477,0.00021574802668926715,302.1386879404966
69,2024-08-01,Maximum Sharpe,0.04489007118463574,6.733510677695362e-05,100.67172955920196
70,2024-09-02,Maximum Sharpe,0.03334265693796241,5.0013985406943615e-05,78.33505600209237
71,2024-10-01,Maximum Sharpe,0.08330057455201527,0.0001249508618280229,204.6864472899703
72,2024-11-01,Maximum Sharpe,0.07046340461000214,0.00010569510691500321,161.19201552300913
73,2024-12-02,Maximum Sharpe,0.0710851784614404,0.0001066277676921606,164.19806875113972
74,2025-01-01,Maximum Sharpe,0.05001290464031393,7.50193569604709e-05,115.24818083846412
75,2025-02-01,Maximum Sharpe,0.0381782554539974,5.726738318099611e-05,83.78243735268792
76,2025-03-03,Maximum Sharpe,0.09990476697719333,0.00014985715046579,194.6909886581339
77,2025-04-01,Maximum Sharpe,0.1580312123823776,0.0002370468185735664,340.7897141472367
78,2025-05-02,Maximum Sharpe,0.0735599872265662,0.00011033998083984931,166.25706377373888
79,2025-06-02,Maximum Sharpe,0.14262633364145144,0.00021393950046217717,328.67895070434815
80,2025-07-01,Maximum Sharpe,0.06599699520835273,9.899549281252909e-05,159.64490530782683
81,2025-08-01,Maximum Sharpe,0.038162968284240456,5.724445242636069e-05,89.64479866498563
82,2025-09-01,Maximum Sharpe,0.033072619830274874,4.9608929745412315e-05,76.44547859558202
83,2025-10-01,Maximum Sharpe,0.03466263009064148,5.199394513596222e-05,79.79140994056756
84,2025-11-03,Maximum Sharpe,0.058032295020489386,8.704844253073409e-05,139.88435828485714
85,2025-12-01,Maximum Sharpe,0.051838806527420817,7.775820979113123e-05,127.13710608984424
86,2026-01-01,Maximum Sharpe,0.09576976531386724,0.00014365464797080088,229.14988459709053
87,2026-02-02,Maximum Sharpe,0.06259028408197446,9.38854261229617e-05,140.1694907858895
88,2026-03-02,Maximum Sharpe,0.08523565970641422,0.00012785348955962134,193.10737466682377
89,2026-04-01,Maximum Sharpe,0.10036134639382971,0.00015054201959074456,210.09385722721004
90,2026-05-01,Maximum Sharpe,0.030807401706399336,4.6211102559599006e-05,68.86156467023265
91,2026-06-01,Maximum Sharpe,0.04415548082461619,6.623322123692429e-05,95.65603315924731
92,2026-07-01,Maximum Sharpe,0.05125671959862735,7.688507939794103e-05,113.19742608239645
93,2024-01-01,Risk Parity,0.0,0.0,0.0
94,2024-02-01,Risk Parity,0.031257483015139906,4.688622452270986e-05,47.51158179763164
95,2024-03-01,Risk Parity,0.03975771862230249,5.963657793345374e-05,64.28608697673907
96,2024-04-01,Risk Parity,0.017595811965749872,2.639371794862481e-05,28.646491482188022
97,2024-05-02,Risk Parity,0.030917948296081577,4.6376922444122366e-05,52.2349684016393
98,2024-06-03,Risk Parity,0.026561211944446182,3.9841817916669276e-05,46.926923791755485
99,2024-07-01,Risk Parity,0.02710630297430601,4.0659454461459016e-05,51.31704689583402
100,2024-08-01,Risk Parity,0.02033511072552662,3.0502666088289933e-05,40.95321644885507
101,2024-09-02,Risk Parity,0.021707261439381842,3.256089215907276e-05,45.02725919730819
102,2024-10-01,Risk Parity,0.021642639510086978,3.246395926513047e-05,46.511467564266574
103,2024-11-01,Risk Parity,0.019821214738227358,2.973182210734104e-05,39.92496779251233
104,2024-12-02,Risk Parity,0.019283500558834744,2.8925250838252118e-05,39.79404174919583
105,2025-01-01,Risk Parity,0.015068841742693628,2.2603262614040442e-05,30.533736191550034
106,2025-02-01,Risk Parity,0.021370841805543495,3.2056262708315245e-05,42.496896517333674
107,2025-03-03,Risk Parity,0.024087051044846305,3.613057656726946e-05,42.96674392794533
108,2025-04-01,Risk Parity,0.02477853921478558,3.7167808822178373e-05,47.99926319321158
109,2025-05-02,Risk Parity,0.023165691084340002,3.4748536626510006e-05,46.29259213024265
110,2025-06-02,Risk Parity,0.027671377506203312,4.150706625930497e-05,56.166310497325036
111,2025-07-01,Risk Parity,0.022685966226518993,3.402894933977849e-05,47.64032517893466
112,2025-08-01,Risk Parity,0.029673744826657102,4.451061723998566e-05,60.9971813946738
113,2025-09-01,Risk Parity,0.016907843724182185,2.5361765586273278e-05,34.412212713693926
114,2025-10-01,Risk Parity,0.022241672599153123,3.3362508898729685e-05,44.78000293895417
115,2025-11-03,Risk Parity,0.014822305866660168,2.2233458799990253e-05,31.11355929630501
116,2025-12-01,Risk Parity,0.016886640634635058,2.5329960951952588e-05,35.94567259238369
117,2026-01-01,Risk Parity,0.012837784833816202,1.9256677250724302e-05,26.77639787488679
118,2026-02-02,Risk Parity,0.031253109007656335,4.68796635114845e-05,61.82099508412077
119,2026-03-02,Risk Parity,0.03749107281615571,5.623660922423357e-05,74.41050169425057
120,2026-04-01,Risk Parity,0.01909909824405693,2.8648647366085394e-05,34.15269161775555
121,2026-05-01,Risk Parity,0.01926631513478061,2.8899472702170916e-05,37.22332516155911
122,2026-06-01,Risk Parity,0.013375482736180319,2.0063224104270478e-05,24.999685042902545
123,2026-07-01,Risk Parity,0.020670187940263166,3.1005281910394746e-05,39.187396570535725
