Frontier Portfolio,HDFCBANK.NS,TCS.NS,HINDUNILVR.NS,SUNPHARMA.NS,POWERGRID.NS,BHARTIARTL.NS,LT.NS,M&M.NS,BEL.NS,TRENT.NS
17,0.08104632630585494,0.09710016662573714,0.17902750847458584,0.2,0.11585792143275701,0.17887668650393396,0.024788659407330212,0.026906771896772635,0.07657443714161041,0.019821522211417815
18,0.07702304945836458,0.09388168240621887,0.17630161582337417,0.2,0.11600051868841485,0.1819744375420814,0.025568918693601214,0.029036533534519765,0.07953190237182114,0.020681341481604002
19,0.07299978964905486,0.09066320584902006,0.1735757087770789,0.2,0.11614311866406707,0.18507218962378566,0.026349161081428537,0.031166289241238807,0.08248937728685019,0.021541159827475943
20,0.06897651656907744,0.08744472673953467,0.17084980978506176,0.2,0.1162857150870029,0.18816994289391403,0.027129420337145885,0.03329604509558505,0.08544684727581221,0.022400976216866094
21,0.06495325099092937,0.0842262468637098,0.16812390757987442,0.2,0.11642831725165094,0.19126769467489688,0.027909666963833787,0.03542580477904015,0.08840431844993812,0.02326079244612654
22,0.06092998437517302,0.08100777114612646,0.1653980035420743,0.2,0.11657091760148496,0.1943654494013073,0.028689916280051502,0.0375555561023953,0.09136179355625443,0.024120607995132676
23,0.05690672036901808,0.0777892938704199,0.1626721000263553,0.2,0.11671352049846374,0.19746320260237404,0.02947016251530652,0.03968530538664786,0.09431927021818119,0.02498042451323343
24,0.05290209505336746,0.07460415489585659,0.15997815833571966,0.19999999999999996,0.11694251244541558,0.19999999999999996,0.030337877066283523,0.041938508649654434,0.09740131745268014,0.02589537610102257
25,0.04898003057730948,0.0715683764286295,0.15743068715784483,0.19999999999999996,0.11756236092579851,0.19999999999999996,0.031605015465106204,0.044753827067226755,0.10104761790681666,0.027052084471268
26,0.04505808247756073,0.06853333026621215,0.15488266459298694,0.2,0.1181824770300499,0.2,0.032871461991259274,0.047568299058747654,0.1046941775525806,0.028209507030602748
27,0.04113614298545546,0.06549827121631605,0.15233464993595439,0.2,0.11880258369245739,0.2,0.03413791597589859,0.050382761755494755,0.10834074058237687,0.029366933856046544
28,0.03721419186985524,0.06246321883273844,0.14978663613797205,0.2,0.11942269362365729,0.2,0.035404375001831107,0.05319722542843189,0.11198730292359518,0.030524356181918802
