,Execution Date,Signal Date,Portfolio,Ticker,Target Weight,Training Observations
631,2025-04-01,2025-03-28,Risk Parity,TCS.NS,0.12087646849407632,756
632,2025-04-01,2025-03-28,Risk Parity,HINDUNILVR.NS,0.13871520198440979,756
633,2025-04-01,2025-03-28,Risk Parity,SUNPHARMA.NS,0.13116400217206267,756
634,2025-04-01,2025-03-28,Risk Parity,POWERGRID.NS,0.09145086216601472,756
635,2025-04-01,2025-03-28,Risk Parity,BHARTIARTL.NS,0.10872716887758928,756
636,2025-04-01,2025-03-28,Risk Parity,LT.NS,0.08288259136553563,756
637,2025-04-01,2025-03-28,Risk Parity,M&M.NS,0.07561619583470426,756
638,2025-04-01,2025-03-28,Risk Parity,BEL.NS,0.06610797621992989,756
639,2025-04-01,2025-03-28,Risk Parity,TRENT.NS,0.07109366367620709,756
640,2025-05-02,2025-04-30,Current Equal Weight,HDFCBANK.NS,0.1,756
641,2025-05-02,2025-04-30,Current Equal Weight,TCS.NS,0.1,756
642,2025-05-02,2025-04-30,Current Equal Weight,HINDUNILVR.NS,0.1,756
643,2025-05-02,2025-04-30,Current Equal Weight,SUNPHARMA.NS,0.1,756
644,2025-05-02,2025-04-30,Current Equal Weight,POWERGRID.NS,0.1,756
645,2025-05-02,2025-04-30,Current Equal Weight,BHARTIARTL.NS,0.1,756
646,2025-05-02,2025-04-30,Current Equal Weight,LT.NS,0.1,756
647,2025-05-02,2025-04-30,Current Equal Weight,M&M.NS,0.1,756
648,2025-05-02,2025-04-30,Current Equal Weight,BEL.NS,0.1,756
649,2025-05-02,2025-04-30,Current Equal Weight,TRENT.NS,0.1,756
650,2025-05-02,2025-04-30,Minimum Volatility,HDFCBANK.NS,0.1895801928376213,756
651,2025-05-02,2025-04-30,Minimum Volatility,TCS.NS,0.1641327303744044,756
652,2025-05-02,2025-04-30,Minimum Volatility,HINDUNILVR.NS,0.2,756
653,2025-05-02,2025-04-30,Minimum Volatility,SUNPHARMA.NS,0.2,756
654,2025-05-02,2025-04-30,Minimum Volatility,POWERGRID.NS,0.10145250656145553,756
655,2025-05-02,2025-04-30,Minimum Volatility,BHARTIARTL.NS,0.12879018902961542,756
656,2025-05-02,2025-04-30,Minimum Volatility,LT.NS,0.004271326438834399,756
657,2025-05-02,2025-04-30,Minimum Volatility,M&M.NS,0.0,756
658,2025-05-02,2025-04-30,Minimum Volatility,BEL.NS,0.0026258592251231522,756
659,2025-05-02,2025-04-30,Minimum Volatility,TRENT.NS,0.009147195532945837,756
660,2025-05-02,2025-04-30,Maximum Sharpe,HDFCBANK.NS,0.03998348187259382,756
661,2025-05-02,2025-04-30,Maximum Sharpe,TCS.NS,0.0,756
662,2025-05-02,2025-04-30,Maximum Sharpe,HINDUNILVR.NS,0.11487901238653775,756
663,2025-05-02,2025-04-30,Maximum Sharpe,SUNPHARMA.NS,0.2,756
664,2025-05-02,2025-04-30,Maximum Sharpe,POWERGRID.NS,0.06974302513937801,756
665,2025-05-02,2025-04-30,Maximum Sharpe,BHARTIARTL.NS,0.19999999999999996,756
666,2025-05-02,2025-04-30,Maximum Sharpe,LT.NS,0.0,756
667,2025-05-02,2025-04-30,Maximum Sharpe,M&M.NS,0.14321401701487496,756
668,2025-05-02,2025-04-30,Maximum Sharpe,BEL.NS,0.12974080857094314,756
669,2025-05-02,2025-04-30,Maximum Sharpe,TRENT.NS,0.10243965501567247,756
670,2025-05-02,2025-04-30,Risk Parity,HDFCBANK.NS,0.11840845777844028,756
671,2025-05-02,2025-04-30,Risk Parity,TCS.NS,0.12082990672099997,756
672,2025-05-02,2025-04-30,Risk Parity,HINDUNILVR.NS,0.14575442445644712,756
673,2025-05-02,2025-04-30,Risk Parity,SUNPHARMA.NS,0.12699856802038278,756
674,2025-05-02,2025-04-30,Risk Parity,POWERGRID.NS,0.09115234889269633,756
675,2025-05-02,2025-04-30,Risk Parity,BHARTIARTL.NS,0.10681112107176982,756
676,2025-05-02,2025-04-30,Risk Parity,LT.NS,0.08031471565054865,756
677,2025-05-02,2025-04-30,Risk Parity,M&M.NS,0.07516221129646644,756
678,2025-05-02,2025-04-30,Risk Parity,BEL.NS,0.06556707644306278,756
679,2025-05-02,2025-04-30,Risk Parity,TRENT.NS,0.06900116966918585,756
680,2025-06-02,2025-05-30,Current Equal Weight,HDFCBANK.NS,0.1,756
681,2025-06-02,2025-05-30,Current Equal Weight,TCS.NS,0.1,756
682,2025-06-02,2025-05-30,Current Equal Weight,HINDUNILVR.NS,0.1,756
683,2025-06-02,2025-05-30,Current Equal Weight,SUNPHARMA.NS,0.1,756
684,2025-06-02,2025-05-30,Current Equal Weight,POWERGRID.NS,0.1,756
685,2025-06-02,2025-05-30,Current Equal Weight,BHARTIARTL.NS,0.1,756
686,2025-06-02,2025-05-30,Current Equal Weight,LT.NS,0.1,756
687,2025-06-02,2025-05-30,Current Equal Weight,M&M.NS,0.1,756
688,2025-06-02,2025-05-30,Current Equal Weight,BEL.NS,0.1,756
689,2025-06-02,2025-05-30,Current Equal Weight,TRENT.NS,0.1,756
690,2025-06-02,2025-05-30,Minimum Volatility,HDFCBANK.NS,0.2,756
691,2025-06-02,2025-05-30,Minimum Volatility,TCS.NS,0.16054665293604575,756
692,2025-06-02,2025-05-30,Minimum Volatility,HINDUNILVR.NS,0.2,756
693,2025-06-02,2025-05-30,Minimum Volatility,SUNPHARMA.NS,0.2,756
694,2025-06-02,2025-05-30,Minimum Volatility,POWERGRID.NS,0.08710435181705613,756
695,2025-06-02,2025-05-30,Minimum Volatility,BHARTIARTL.NS,0.12689637165181025,756
696,2025-06-02,2025-05-30,Minimum Volatility,LT.NS,0.016662410191424486,756
697,2025-06-02,2025-05-30,Minimum Volatility,M&M.NS,0.0,756
698,2025-06-02,2025-05-30,Minimum Volatility,BEL.NS,0.00459176160607683,756
699,2025-06-02,2025-05-30,Minimum Volatility,TRENT.NS,0.004198451797586395,756
700,2025-06-02,2025-05-30,Maximum Sharpe,HDFCBANK.NS,0.10675666598486748,756
701,2025-06-02,2025-05-30,Maximum Sharpe,TCS.NS,0.0,756
702,2025-06-02,2025-05-30,Maximum Sharpe,HINDUNILVR.NS,0.11879938493507582,756
703,2025-06-02,2025-05-30,Maximum Sharpe,SUNPHARMA.NS,0.2,756
704,2025-06-02,2025-05-30,Maximum Sharpe,POWERGRID.NS,0.0027834125192421413,756
705,2025-06-02,2025-05-30,Maximum Sharpe,BHARTIARTL.NS,0.2,756
706,2025-06-02,2025-05-30,Maximum Sharpe,LT.NS,0.04013051908285295,756
707,2025-06-02,2025-05-30,Maximum Sharpe,M&M.NS,0.08131415292264331,756
708,2025-06-02,2025-05-30,Maximum Sharpe,BEL.NS,0.13626759207099426,756
709,2025-06-02,2025-05-30,Maximum Sharpe,TRENT.NS,0.11394827248432401,756
710,2025-06-02,2025-05-30,Risk Parity,HDFCBANK.NS,0.1190835077930735,756
711,2025-06-02,2025-05-30,Risk Parity,TCS.NS,0.11893083639657066,756
712,2025-06-02,2025-05-30,Risk Parity,HINDUNILVR.NS,0.14832446949166503,756
713,2025-06-02,2025-05-30,Risk Parity,SUNPHARMA.NS,0.13111444969628314,756
714,2025-06-02,2025-05-30,Risk Parity,POWERGRID.NS,0.08815818421687582,756
715,2025-06-02,2025-05-30,Risk Parity,BHARTIARTL.NS,0.10636589647063312,756
716,2025-06-02,2025-05-30,Risk Parity,LT.NS,0.08128166761887451,756
717,2025-06-02,2025-05-30,Risk Parity,M&M.NS,0.07329993827709082,756
718,2025-06-02,2025-05-30,Risk Parity,BEL.NS,0.06580583723516861,756
719,2025-06-02,2025-05-30,Risk Parity,TRENT.NS,0.06763521280376461,756
720,2025-07-01,2025-06-30,Current Equal Weight,HDFCBANK.NS,0.1,756
721,2025-07-01,2025-06-30,Current Equal Weight,TCS.NS,0.1,756
722,2025-07-01,2025-06-30,Current Equal Weight,HINDUNILVR.NS,0.1,756
723,2025-07-01,2025-06-30,Current Equal Weight,SUNPHARMA.NS,0.1,756
724,2025-07-01,2025-06-30,Current Equal Weight,POWERGRID.NS,0.1,756
725,2025-07-01,2025-06-30,Current Equal Weight,BHARTIARTL.NS,0.1,756
726,2025-07-01,2025-06-30,Current Equal Weight,LT.NS,0.1,756
727,2025-07-01,2025-06-30,Current Equal Weight,M&M.NS,0.1,756
728,2025-07-01,2025-06-30,Current Equal Weight,BEL.NS,0.1,756
729,2025-07-01,2025-06-30,Current Equal Weight,TRENT.NS,0.1,756
730,2025-07-01,2025-06-30,Minimum Volatility,HDFCBANK.NS,0.19445664471385488,756
731,2025-07-01,2025-06-30,Minimum Volatility,TCS.NS,0.16588966656685517,756
732,2025-07-01,2025-06-30,Minimum Volatility,HINDUNILVR.NS,0.2,756
733,2025-07-01,2025-06-30,Minimum Volatility,SUNPHARMA.NS,0.2,756
734,2025-07-01,2025-06-30,Minimum Volatility,POWERGRID.NS,0.07213650861536654,756
735,2025-07-01,2025-06-30,Minimum Volatility,BHARTIARTL.NS,0.12124884794936812,756
736,2025-07-01,2025-06-30,Minimum Volatility,LT.NS,0.03172023401335359,756
737,2025-07-01,2025-06-30,Minimum Volatility,M&M.NS,0.0,756
738,2025-07-01,2025-06-30,Minimum Volatility,BEL.NS,0.00224180989099086,756
