Momentum Lookback,Volatility Lookback,Trend Lookback,Defensive Exposure,CAGR,Annualised Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Beta vs Nifty 50,Average Turnover,Total Transaction Costs,CAGR Difference vs Fixed,Sharpe Difference vs Fixed,Drawdown Improvement vs Fixed
126,21,200,0.5,0.1989851502675397,0.12336854448685525,1.0480745687812805,1.5294972400996707,-0.11930624281562818,1.6678519545288557,0.7441311436457589,0.1818538231017093,77161.77745716827,-0.006234426437312646,0.28172565744203315,0.23930943758901102
126,21,200,0.7,0.19894097482469375,0.13001564422743903,1.0006869806680379,1.4514357679427572,-0.14477571068428907,1.3741322621342356,0.8116247301072829,0.15081460673075692,69650.28749514384,-0.006278601880158607,0.23433806932879053,0.21383996972035013
126,21,200,0.8,0.19867906133198354,0.13403528308132012,0.9729833204830383,1.4065563957701857,-0.15741110147195247,1.262166768888179,0.8455766246188778,0.13727811043307653,66070.58954899265,-0.006540515372868816,0.20663440914379094,0.20120457893268673
126,63,100,0.5,0.19677944717103935,0.11411709489273723,1.106950247707932,1.6380320666514596,-0.13673850428299528,1.439093166938427,0.6805147412463022,0.14957329941633937,69970.57145146414,-0.008440129533813012,0.3406013363686847,0.22187717612164393
126,63,100,0.7,0.19981652442026143,0.12378415155739982,1.0506468879550133,1.5372190742819496,-0.14801806418682972,1.3499468832942663,0.7724175673509537,0.11472753158977923,54937.30306630902,-0.005403052284590926,0.28429797661576595,0.21059761621780948
126,63,100,0.8,0.2010640774161978,0.1294918549284253,1.0180991745225851,1.4813847603826504,-0.1601453005638327,1.255510319118326,0.8185648295819231,0.09816907585610352,47362.58570989818,-0.004155499288654552,0.2517502631833378,0.1984703798408065
126,63,150,0.5,0.204108931165361,0.12028171088630626,1.1079198732268096,1.6296204929505436,-0.11566306842555985,1.7646854258991447,0.7258733630712113,0.14458833847995972,58690.904869443315,-0.0011106455394913617,0.3415709618875623,0.24295261197907936
126,63,150,0.7,0.20409082733998773,0.127692113617922,1.050706404571667,1.532851126558605,-0.14340784213933977,1.4231496987569647,0.7996397509398423,0.11174565044014707,48682.53568233365,-0.001128749364864623,0.28435749323241966,0.21520783826529943
126,63,150,0.8,0.20386672725426913,0.13214293483827727,1.0182652216983537,1.4791382174744891,-0.15712037555473235,1.2975193480444098,0.8367165818204446,0.09612374720710612,43437.707642113375,-0.0013528494505832267,0.25191631035910633,0.20149530484990685
126,63,200,0.5,0.20247844065330822,0.12248940334964444,1.0788828124795034,1.578913121436093,-0.12333007942734187,1.6417604009782176,0.7413814358888284,0.14735931443027045,59860.42214755529,-0.002741136051544135,0.31253390114025603,0.23528560097729734
126,63,200,0.7,0.20311137123076106,0.12910773035473178,1.0341810252557002,1.5044404250052041,-0.14787864034143183,1.3735003970945656,0.8089204653609844,0.11348610860893918,50055.02545899734,-0.002108205474091296,0.2678321139164529,0.21073704006320737
126,63,200,0.8,0.20321412535206873,0.1331087640378228,1.0076949353450542,1.461132494745645,-0.16006729152397592,1.269554344409145,0.842893019135749,0.09746693883616063,44826.513676671726,-0.002005451352783627,0.24134602400580685,0.19854838888066328
126,126,100,0.5,0.19379295044078315,0.11420897420840645,1.0839017986284878,1.5969007737225518,-0.13842329881942217,1.4000023991162973,0.6824952060753028,0.14027491599864775,65329.75670482862,-0.011426626264069206,0.31755288728924047,0.22019238158521703
126,126,100,0.7,0.19687621397256883,0.12395325561925787,1.0292506029139161,1.5003733311817216,-0.14983394268748262,1.3139627139306145,0.7750175951135525,0.10506698511336128,50053.09400138132,-0.008343362732283532,0.2629016915746688,0.20878173771715658
126,126,100,0.8,0.1981464385038283,0.1297045194182083,0.997571648919198,1.4466647045717282,-0.16198051178921036,1.2232733204453734,0.8214774619776135,0.08834859276264947,42317.14136869645,-0.007073138201024065,0.2312227375799507,0.19663516861542885
126,126,150,0.5,0.2009087157328111,0.12038278327572303,1.0846071418050964,1.5884227550078183,-0.11806392949934541,1.7016942988834283,0.7278279012840536,0.134919277815577,53768.66178911456,-0.004310860972041253,0.3182582304658491,0.2405517509052938
126,126,150,0.7,0.20103533209252689,0.12786505310635457,1.0292489430240546,1.4960056110806854,-0.14558258538161262,1.3809023350255605,0.8022252024457648,0.10182698283765715,43459.04612566477,-0.004184244612325472,0.26290003168480724,0.2130330950230266
126,126,150,0.8,0.2008820843559458,0.13235780217016502,0.9977536052388386,1.4444710578047097,-0.1591884286271451,1.2619138594957586,0.8396209145571296,0.0859319610148576,38021.10392157007,-0.004337492348906569,0.23140469389959128,0.1994272517774941
126,126,200,0.5,0.19955286691265783,0.12258120813223952,1.0579577826503486,1.5421165651403352,-0.12476586703363446,1.5994187485497315,0.7432799010177562,0.13793087091366021,55121.25771372941,-0.005666709792194524,0.29160887131110125,0.23384981337100474
126,126,200,0.7,0.20022201447110533,0.12927410000500672,1.0141011868972156,1.4700693141062486,-0.14948657647778663,1.339397952570396,0.811472304597841,0.10387106190991566,44882.91918902068,-0.004997562233747033,0.2477522755579683,0.20912910392685258
126,126,200,0.8,0.20033954412389887,0.13331888316050503,0.9880707563644442,1.4280363395186304,-0.1617649644045943,1.2384606571718753,0.8457748773016195,0.0875970910760302,39420.64137073313,-0.004880032580953486,0.22172184502519687,0.1968507160000449
189,21,100,0.5,0.19276688170160128,0.11556282607658577,1.064985443290054,1.5642497207845611,-0.1422194138843622,1.3554189012362188,0.6867364423801299,0.18178436856058125,88575.68854744884,-0.01245269500325108,0.29863653195080675,0.216396266520277
189,21,100,0.7,0.19430635107269656,0.1254033899226181,1.0013520907003275,1.45498271528175,-0.15601480549127789,1.2454353319919973,0.7795030137051422,0.14876776146314633,74616.82112215187,-0.010913225632155799,0.23500317936108017,0.20260087491336132
189,21,100,0.8,0.19477460848041872,0.13121484487077245,0.9657372864112098,1.3958684978757319,-0.1659211940820492,1.1738983049031175,0.826099430853438,0.13468410506849726,68198.60585974333,-0.010444968224433637,0.1993883750719625,0.19269448632259
189,21,150,0.5,0.20161163957649486,0.12162851573282255,1.0796231456064578,1.5846606596299468,-0.11630879066384192,1.7334170394669222,0.7318463284933245,0.17723903264774601,77285.89364732028,-0.003607937128357497,0.31327423426721046,0.24230688974079728
189,21,150,0.7,0.1994805822397121,0.1292453037813989,1.0094214198959062,1.467075648047528,-0.14708634517245267,1.3562141475867753,0.8065714566927402,0.14696666246068127,68772.81159430082,-0.005738994465140257,0.24307250855665885,0.21152933523218653
189,21,150,0.8,0.19816822654721378,0.13381999261257163,0.9710934356368917,1.4041335264517438,-0.1622913311865981,1.2210647672817805,0.8441449599731169,0.13379561952241656,64856.865144912044,-0.007051350157638581,0.20474452429764434,0.1963243492180411
