Strategy,Signal Date,Execution Date,Ticker,Score,Selected,Target Weight,Source Strategy,Construction Method,Regime,Market Regime
Nifty Outperformance Logistic,2026-07-01,2026-07-02,POWERGRID.NS,0.4978174500005006,True,0.3333333333333333,Nifty Outperformance Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Nifty Outperformance Logistic,2026-07-01,2026-07-02,TCS.NS,0.5440950606349471,True,0.3333333333333333,Nifty Outperformance Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Nifty Outperformance Logistic,2026-07-01,2026-07-02,BHARTIARTL.NS,0.47563712542698533,False,0.0,Nifty Outperformance Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Nifty Outperformance Logistic,2026-07-01,2026-07-02,HDFCBANK.NS,0.4568708487872358,False,0.0,Nifty Outperformance Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Nifty Outperformance Logistic,2026-07-01,2026-07-02,HINDUNILVR.NS,0.46943377798871033,False,0.0,Nifty Outperformance Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Nifty Outperformance Logistic,2026-07-01,2026-07-02,LT.NS,0.48460941483679465,False,0.0,Nifty Outperformance Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Nifty Outperformance Logistic,2026-07-01,2026-07-02,M&M.NS,0.4796148400612366,False,0.0,Nifty Outperformance Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Nifty Outperformance Logistic,2026-07-01,2026-07-02,SUNPHARMA.NS,0.4786024994891986,False,0.0,Nifty Outperformance Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Nifty Outperformance Logistic,2026-07-01,2026-07-02,TRENT.NS,0.42396421077464375,False,0.0,Nifty Outperformance Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Nifty Outperformance Logistic — Probability Weighted,2026-07-01,2026-07-02,TCS.NS,0.5440950606349471,True,0.35387559232360233,Nifty Outperformance Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Nifty Outperformance Logistic — Probability Weighted,2026-07-01,2026-07-02,POWERGRID.NS,0.4978174500005006,True,0.32377696055974337,Nifty Outperformance Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Nifty Outperformance Logistic — Probability Weighted,2026-07-01,2026-07-02,BEL.NS,0.49561952728311576,True,0.32234744711665425,Nifty Outperformance Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Nifty Outperformance Logistic — Probability Weighted,2026-07-01,2026-07-02,BHARTIARTL.NS,0.47563712542698533,False,0.0,Nifty Outperformance Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Nifty Outperformance Logistic — Probability Weighted,2026-07-01,2026-07-02,HDFCBANK.NS,0.4568708487872358,False,0.0,Nifty Outperformance Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Nifty Outperformance Logistic — Probability Weighted,2026-07-01,2026-07-02,HINDUNILVR.NS,0.46943377798871033,False,0.0,Nifty Outperformance Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Nifty Outperformance Logistic — Probability Weighted,2026-07-01,2026-07-02,LT.NS,0.48460941483679465,False,0.0,Nifty Outperformance Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Nifty Outperformance Logistic — Probability Weighted,2026-07-01,2026-07-02,M&M.NS,0.4796148400612366,False,0.0,Nifty Outperformance Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Nifty Outperformance Logistic — Probability Weighted,2026-07-01,2026-07-02,SUNPHARMA.NS,0.4786024994891986,False,0.0,Nifty Outperformance Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Nifty Outperformance Logistic — Probability Weighted,2026-07-01,2026-07-02,TRENT.NS,0.42396421077464375,False,0.0,Nifty Outperformance Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Positive Return Logistic,2026-07-01,2026-07-02,POWERGRID.NS,0.6617961072708332,True,0.3333333333333333,Positive Return Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Positive Return Logistic,2026-07-01,2026-07-02,SUNPHARMA.NS,0.6357120272052407,True,0.3333333333333333,Positive Return Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Positive Return Logistic,2026-07-01,2026-07-02,TCS.NS,0.6226852447597314,True,0.3333333333333333,Positive Return Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Positive Return Logistic,2026-07-01,2026-07-02,BEL.NS,0.6226174390829646,False,0.0,Positive Return Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Positive Return Logistic,2026-07-01,2026-07-02,BHARTIARTL.NS,0.6019254806498717,False,0.0,Positive Return Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Positive Return Logistic,2026-07-01,2026-07-02,HDFCBANK.NS,0.5577605692267438,False,0.0,Positive Return Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Positive Return Logistic,2026-07-01,2026-07-02,HINDUNILVR.NS,0.588301211789647,False,0.0,Positive Return Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Positive Return Logistic,2026-07-01,2026-07-02,LT.NS,0.5883048130475607,False,0.0,Positive Return Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Positive Return Logistic,2026-07-01,2026-07-02,M&M.NS,0.591139763813566,False,0.0,Positive Return Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Positive Return Logistic,2026-07-01,2026-07-02,TRENT.NS,0.5103576260332341,False,0.0,Positive Return Logistic,Top-3 Equal Weight,,Bear / Higher Volatility
Positive Return Logistic — Probability Weighted,2026-07-01,2026-07-02,POWERGRID.NS,0.6617961072708332,True,0.3446507598803478,Positive Return Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Positive Return Logistic — Probability Weighted,2026-07-01,2026-07-02,SUNPHARMA.NS,0.6357120272052407,True,0.3310666696800299,Positive Return Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Positive Return Logistic — Probability Weighted,2026-07-01,2026-07-02,TCS.NS,0.6226852447597314,True,0.32428257043962233,Positive Return Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Positive Return Logistic — Probability Weighted,2026-07-01,2026-07-02,BEL.NS,0.6226174390829646,False,0.0,Positive Return Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Positive Return Logistic — Probability Weighted,2026-07-01,2026-07-02,BHARTIARTL.NS,0.6019254806498717,False,0.0,Positive Return Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Positive Return Logistic — Probability Weighted,2026-07-01,2026-07-02,HDFCBANK.NS,0.5577605692267438,False,0.0,Positive Return Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Positive Return Logistic — Probability Weighted,2026-07-01,2026-07-02,HINDUNILVR.NS,0.588301211789647,False,0.0,Positive Return Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Positive Return Logistic — Probability Weighted,2026-07-01,2026-07-02,LT.NS,0.5883048130475607,False,0.0,Positive Return Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Positive Return Logistic — Probability Weighted,2026-07-01,2026-07-02,M&M.NS,0.591139763813566,False,0.0,Positive Return Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Positive Return Logistic — Probability Weighted,2026-07-01,2026-07-02,TRENT.NS,0.5103576260332341,False,0.0,Positive Return Logistic — Probability Weighted,Probability Weighted,,Bear / Higher Volatility
Random Forest,2026-07-01,2026-07-02,BEL.NS,0.00043034858852918453,True,0.3333333333333333,Random Forest,Top-3 Equal Weight,,Bear / Higher Volatility
Random Forest,2026-07-01,2026-07-02,LT.NS,0.0005262271976062595,True,0.3333333333333333,Random Forest,Top-3 Equal Weight,,Bear / Higher Volatility
